id,installment,emp_length,annual_inc,dti,acc_now_delinq,delinq_amnt,delinq_2yrs,inq_last_6mths,salary_verified,delinq_before,interest_rate,credit_length,fico_score,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_OWN,home_ownership_RENT,default
54027458,439.88,5.0,50000.0,21.65,0,0,0,0,1.0,0.0,13.112000000000002,23,727.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
72594974,252.67,3.0,68000.0,29.09,0,0,0,2,0.0,0.0,21.281599999999983,19,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71061534,870.44,5.0,55000.0,13.35,0,0,0,1,1.0,0.0,25.343360000000015,0,757.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
54474095,382.55,5.0,30000.0,19.04,0,0,0,0,0.0,0.0,14.76500000000001,0,732.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
45704513,677.85,10.0,84000.0,12.03,0,0,0,0,1.0,0.0,35.57,0,722.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
65261823,1182.33,0.0,90000.0,21.97,0,0,1,0,1.0,1.0,21.611085714285707,25,667.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
65686163,510.05,2.0,170000.0,18.21,0,0,0,1,0.0,1.0,53.015,36,697.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51887109,212.43,1.0,91000.0,7.56,0,0,1,0,1.0,1.0,27.458000000000013,0,752.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0
44017250,609.14,0.0,110000.0,32.89,0,0,1,0,0.0,1.0,29.374867256637174,26,672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38507061,367.74,10.0,110000.0,11.02,0,0,0,1,0.0,1.0,10.321999999999996,0,722.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
83335159,423.82,9.0,82000.0,19.0,0,0,0,0,1.0,0.0,58.932500000000005,0,707.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
65180766,608.06,6.0,68000.0,17.31,0,0,0,0,1.0,0.0,21.61199999999998,38,742.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
39569724,1287.22,0.0,115000.0,22.1,0,0,0,3,1.0,1.0,32.39977142857142,25,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
44796086,327.34,1.0,100000.0,34.53,0,0,0,2,1.0,1.0,17.842399999999998,0,687.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
